ext_recipe_id,ingredient_pos,ingredient_text,ingredient_text_norm
81,2,"1 sweet potato, cut into 1/4-inch wedges","1 sweet potato, cut into 1/4-inch wedges"
81,3,"3 teaspoons olive oil, divided","3 teaspoons olive oil, divided"
81,4,"1/4 teaspoon salt, divided","1/4 teaspoon salt, divided"
81,5,"1/4 teaspoon ground black pepper, divided","1/4 teaspoon ground black pepper, divided"
81,6,1 tablespoon ijon mustard,1 tablespoon ijon mustard
81,7,1 tablespoon honey,1 tablespoon honey
81,8,2 teaspoons mayonnaise,2 teaspoons mayonnaise
81,9,2 cups broccoli florets,2 cups broccoli florets
81,10,2 ounces) salmon fillets,2 ounces) salmon fillets
81,11,2 teaspoons everything bagel seasoning,2 teaspoons everything bagel seasoning
81,12,1 teaspoon soy sauce,1 teaspoon soy sauce
82,1,2 pounds boneless chicken breasts,2 pounds boneless chicken breasts
83,1,2 hot dog buns,2 hot dog buns
83,2,2 italian sausage links,2 italian sausage links
84,1,cooking spray,cooking spray
84,2,4 uncooked bratwurst,4 uncooked bratwurst
84,3,4 sausage buns,4 sausage buns
85,1,1 frozen waffle,1 frozen waffle
85,2,1 large large,1 large large
85,3,salt and pepper to taste,salt and pepper to taste
85,4,2 tablespoons shredded cheese,2 tablespoons shredded cheese
85,5,maple syrup to taste,maple syrup to taste
86,1,1 tablespoon chili powder,1 tablespoon chili powder
86,2,2 teaspoons kosher salt,2 teaspoons kosher salt
86,3,1 1/2 teaspoons smoked paprika,1 1/2 teaspoons smoked paprika
86,4,1 teaspoon garlic powder,1 teaspoon garlic powder
86,5,1 teaspoon onion powder,1 teaspoon onion powder
86,6,1 teaspoon dried oregano,1 teaspoon dried oregano
86,7,1/4 teaspoon ground black pepper,1/4 teaspoon ground black pepper
86,8,1/4 teaspoon crushed red pepper,1/4 teaspoon crushed red pepper
86,9,"1 (1 1/2 lbs.) pork tenderloin, trimmed","1 (1 1/2 lbs.) pork tenderloin, trimmed"
86,10,1 tablespoon olive oil,1 tablespoon olive oil
86,11,cooking spray,cooking spray
86,12,1 tablespoon honey,1 tablespoon honey
87,1,"12 ounces large shrimp, peeled and deveined","12 ounces large shrimp, peeled and deveined"
87,2,2 teaspoons extra-virgin olive oil,2 teaspoons extra-virgin olive oil
87,3,¼ teaspoon smoked paprika,¼ teaspoon smoked paprika
87,4,"2 tablespoons unsalted butter, melted","2 tablespoons unsalted butter, melted"
87,5,2 teaspoons Cajun seasoning,2 teaspoons cajun seasoning
88,1,"1 (1 pound) sirloin, cut into 1 inch cubes","1 (1 pound) sirloin, cut into 1 inch cubes"
88,2,1 tablespoon canola oil,1 tablespoon canola oil
88,3,¼ teaspoon kosher salt,¼ teaspoon kosher salt
88,4,⅛ teaspoon ground black pepper,⅛ teaspoon ground black pepper
88,5,"¼ cup unsalted butter, melted","¼ cup unsalted butter, melted"
88,6,2 teaspoons Worcestershire sauce,2 teaspoons worcestershire sauce
88,7,1 teaspoon garlic powder,1 teaspoon garlic powder
88,8,2 tablespoons chopped fresh chives,2 tablespoons chopped fresh chives
89,1,2 flour tortilla (6 inch),2 flour tortilla (6 inch)
89,2,1 tablespoon extra-virgin olive oil,1 tablespoon extra-virgin olive oil
89,3,"2 tablespoons pizza sauce, divided","2 tablespoons pizza sauce, divided"
89,4,"½ cup shredded mozzarella cheese, divided","½ cup shredded mozzarella cheese, divided"
89,5,¼ cup sliced pepperoni,¼ cup sliced pepperoni
89,6,⅛ teaspoon dried oregano,⅛ teaspoon dried oregano
90,1,2 tablespoons olive oil,2 tablespoons olive oil
90,2,2 ½ teaspoons Italian seasoning,2 ½ teaspoons italian seasoning
90,3,2 ½ teaspoons poultry seasoning,2 ½ teaspoons poultry seasoning
90,4,2 teaspoons paprika,2 teaspoons paprika
90,5,2 teaspoons salt,2 teaspoons salt
90,6,"1 (5 pound) whole chicken, giblets removed","1 (5 pound) whole chicken, giblets removed"
91,1,olive oil cooking spray,olive oil cooking spray
91,2,2 tablespoons all-purpose flour,2 tablespoons all-purpose flour
91,3,1 ½ teaspoons seafood seasoning (such as Old Bay®),1 ½ teaspoons seafood seasoning (such as old bay®)
